what,kind,bundleId,bundleVersion,description,time
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328397343
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328397390
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328397421
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328397453
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328397468
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328397484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328328405046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328328405312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328328405484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328328406968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328328408140
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328328414359
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328328416234
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328328418828
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328328420171
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328420703
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328328421312
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328422781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1328328428406
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328328431390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328328431406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328328432328
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328328439375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328328441437
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328328444421
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328328447218
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328449515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328328450921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328328451828
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328328453046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328328455531
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328328461875
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328328463812
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328493593
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328328526718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328328530109
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328328535203
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328328535281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328328535328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328328554531
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328328558328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328328559406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328328561328
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1328328561343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1328328561343
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328328563203
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328563562
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328328563562
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328328564765
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328565859
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328328565984
